,Manufacturer,Model,Application(s),Power,SFC,Airflow,OPR,Number,LPC,HPC,HPT,IPT,LPT,Length,Diameter,Weight
119,Garrett,TPE331-2-201C,C-212A/AV/B/C/E,533.1755,0.3382022276400408,,8.3,1,,2C,3.0,,,,0.6604,152.406912
120,Garrett,TPE331-3A-301W,C-10A (not produced),626.388,0.3333360085373064,,10.3,1,,2C,3.0,,,1.0922,0.6604,161.02516
121,Garrett,TPE331-3UW-304G,Merlin IVA,674.1128,0.3333360085373064,,10.3,1,,2C,3.0,,,1.0922,0.6604,161.02516
122,Garrett,TPE331-5-251C,C-211-100,626.388,0.35097605278471855,,10.3,1,,2C,3.0,,,1.0922,0.6604,161.02516
123,Garrett,TPE331-5-251K,Turbo Commander 690/690A/680B,626.388,0.35097605278471855,,10.3,1,,2C,3.0,,,1.0922,0.6604,161.02516
124,Garrett,TPE331-5-252C,C-212-100,626.388,0.35097605278471855,,10.3,1,,2C,3.0,,,1.0922,0.6604,161.02516
125,Garrett,TPE331-5-252D,Do 228-101/-202,626.388,0.35097605278471855,,10.3,1,,2C,3.0,,,1.0922,0.6604,161.02516
126,Garrett,TPE331-5-252K,Turbo Commander 690A/690B,626.388,0.35097605278471855,,10.3,1,,2C,3.0,,,1.0922,0.6604,161.02516
127,Garrett,TPE331-5-254K,Jetprop Commander 690C/690D,626.388,0.35097605278471855,,10.3,1,,2C,3.0,,,1.0922,0.6604,161.02516
128,Garrett,TPE331-5-255K,"Turbo Commander 690/690A/690B, Jetprop Commander 690C/690D",626.388,0.35097605278471855,,10.3,1,,2C,3.0,,,1.0922,0.6604,161.02516
129,Garrett,TPE331-10,"C-212-10, Altair, Mariner",733.7688,0.33455256331299,,10.8,1,,2C,3.0,,,,0.6604,172.36496
130,Garrett,TPE331-10-501K,Commander 980/1000,733.7688,0.33455256331299,,10.8,1,,2C,3.0,,,1.1683999999999999,0.6604,172.36496
